CLIENT,Contract Period,2023 Contracts,2024 Contracts,2025 Contracts
50CAN,1/1/25-12/31/25,$72000.00,$72000.00,$72000.00
Adv. Beh. Health,2/1/23-1/31/24,$30000.00,$30000.00,
Altria,1/1/25-12/31/25,$82000.00,$82000.00,$82000.00
American Heart Assoc,1/1/24-12/31/24,$25000.00,$25000.00,
CTLA,1/1/23-12/31/25,$120000.00,$120000.00,$120000.00
Eversource,1/1/25-12/31/26,$95000.00,$95000.00,$95000.00
Hartford Healthcare,6/1/24-5/31/25,$65000.00,$65000.00,$65000.00
Municipal Electric,1/1/24-12/31/24,$45000.00,$45000.00,
Pfizer,1/1/25-12/31/27,$150000.00,$150000.00,$150000.00
State Farm,7/1/23-6/30/24,$38000.00,$38000.00,

